form_id,lexeme,cell,phon_form
67,opinoi,fut.dur.irr.3act.nsgact.3und.nsgund.nplu,srpinɔⁿtmɛ
68,opinoi,fut.dur.irr.3act.nsgact.3und.nsgund.plu,srpinɔⁿtmɛ
69,opinoi,fut.dur.pot.1act.sgact.2und.sgund.nplu,ⁿtpinɔⁿtɔmɔ
70,opinoi,fut.dur.pot.1act.sgact.2und.sgund.plu,ⁿtpinɔⁿtɔmɔ
71,opinoi,fut.dur.pot.1act.sgact.2und.nsgund.nplu,srpinɔⁿtɔmɔ
72,opinoi,fut.dur.pot.1act.sgact.2und.nsgund.plu,srpinɔⁿtɔmɔ
73,opinoi,fut.dur.pot.1act.sgact.3und.sgund.fem.nplu,brpinɔⁿtɔmɔ
74,opinoi,fut.dur.pot.1act.sgact.3und.sgund.fem.plu,brpinɔⁿtɔmɔ
75,opinoi,fut.dur.pot.1act.sgact.3und.sgund.def.nplu,srpinɔⁿtɔmɔ
76,opinoi,fut.dur.pot.1act.sgact.3und.sgund.def.plu,srpinɔⁿtɔmɔ
77,opinoi,fut.dur.pot.1act.sgact.3und.nsgund.nplu,srpinɔⁿtɔmɔ
78,opinoi,fut.dur.pot.1act.sgact.3und.nsgund.plu,srpinɔⁿtɔmɔ
79,opinoi,fut.dur.pot.1act.nsgact.2und.sgund.nplu,ⁿtpinɔⁿtɔmɔɛj
80,opinoi,fut.dur.pot.1act.nsgact.2und.sgund.plu,ⁿtpinɔⁿtɔmɔɛj
81,opinoi,fut.dur.pot.1act.nsgact.2und.nsgund.nplu,srpinɔⁿtɔmɔɛj
82,opinoi,fut.dur.pot.1act.nsgact.2und.nsgund.plu,srpinɔⁿtɔmɔɛj
83,opinoi,fut.dur.pot.1act.nsgact.3und.sgund.fem.nplu,brpinɔⁿtɔmɔɛj
84,opinoi,fut.dur.pot.1act.nsgact.3und.sgund.fem.plu,brpinɔⁿtɔmɔɛj
85,opinoi,fut.dur.pot.1act.nsgact.3und.sgund.def.nplu,srpinɔⁿtɔmɔɛj
86,opinoi,fut.dur.pot.1act.nsgact.3und.sgund.def.plu,srpinɔⁿtɔmɔɛj
87,opinoi,fut.dur.pot.1act.nsgact.3und.nsgund.nplu,srpinɔⁿtɔmɔɛj
88,opinoi,fut.dur.pot.1act.nsgact.3und.nsgund.plu,srpinɔⁿtɔmɔɛj
89,opinoi,fut.dur.pot.2act.sgact.1und.sgund.nplu,bpinɔⁿtɔmɔ
90,opinoi,fut.dur.pot.2act.sgact.1und.sgund.plu,bpinɔⁿtɔmɔ
91,opinoi,fut.dur.pot.2act.sgact.1und.nsgund.nplu,ⁿtpinɔⁿtɔmɔ
92,opinoi,fut.dur.pot.2act.sgact.1und.nsgund.plu,ⁿtpinɔⁿtɔmɔ
93,opinoi,fut.dur.pot.2act.sgact.3und.sgund.fem.nplu,bpinɔⁿtɔmɔ
94,opinoi,fut.dur.pot.2act.sgact.3und.sgund.fem.plu,bpinɔⁿtɔmɔ
95,opinoi,fut.dur.pot.2act.sgact.3und.sgund.def.nplu,spinɔⁿtɔmɔ
96,opinoi,fut.dur.pot.2act.sgact.3und.sgund.def.plu,spinɔⁿtɔmɔ
97,opinoi,fut.dur.pot.2act.sgact.3und.nsgund.nplu,spinɔⁿtɔmɔ
98,opinoi,fut.dur.pot.2act.sgact.3und.nsgund.plu,spinɔⁿtɔmɔ
99,opinoi,fut.dur.pot.2act.nsgact.1und.sgund.nplu,bpinɔⁿtɔmɔɛj
100,opinoi,fut.dur.pot.2act.nsgact.1und.sgund.plu,bpinɔⁿtɔmɔɛj
101,opinoi,fut.dur.pot.2act.nsgact.1und.nsgund.nplu,ⁿtpinɔⁿtɔmɔɛj
102,opinoi,fut.dur.pot.2act.nsgact.1und.nsgund.plu,ⁿtpinɔⁿtɔmɔɛj
103,opinoi,fut.dur.pot.2act.nsgact.3und.sgund.fem.nplu,bpinɔⁿtɔmɔɛj
104,opinoi,fut.dur.pot.2act.nsgact.3und.sgund.fem.plu,bpinɔⁿtɔmɔɛj
105,opinoi,fut.dur.pot.2act.nsgact.3und.sgund.def.nplu,spinɔⁿtɔmɔɛj
106,opinoi,fut.dur.pot.2act.nsgact.3und.sgund.def.plu,spinɔⁿtɔmɔɛj
107,opinoi,fut.dur.pot.2act.nsgact.3und.nsgund.nplu,spinɔⁿtɔmɔɛj
108,opinoi,fut.dur.pot.2act.nsgact.3und.nsgund.plu,spinɔⁿtɔmɔɛj
109,opinoi,fut.dur.pot.3act.sgact.1und.sgund.nplu,brpinɔⁿtɔmɔ
110,opinoi,fut.dur.pot.3act.sgact.1und.sgund.plu,brpinɔⁿtɔmɔ
111,opinoi,fut.dur.pot.3act.sgact.1und.nsgund.nplu,ⁿtpinɔⁿtɔmɔ
112,opinoi,fut.dur.pot.3act.sgact.1und.nsgund.plu,ⁿtpinɔⁿtɔmɔ
113,opinoi,fut.dur.pot.3act.sgact.2und.sgund.nplu,ⁿtpinɔⁿtɔmɔ
114,opinoi,fut.dur.pot.3act.sgact.2und.sgund.plu,ⁿtpinɔⁿtɔmɔ
115,opinoi,fut.dur.pot.3act.sgact.2und.nsgund.nplu,srpinɔⁿtɔmɔ
116,opinoi,fut.dur.pot.3act.sgact.2und.nsgund.plu,srpinɔⁿtɔmɔ
117,opinoi,fut.dur.pot.3act.sgact.3und.sgund.fem.nplu,brpinɔⁿtɔmɔ
118,opinoi,fut.dur.pot.3act.sgact.3und.sgund.fem.plu,brpinɔⁿtɔmɔ
